SAIL published papers  - web site,,,,,,,lien vers le site web officiel de la publication( pas de lien vers les pdf directement )OU arxive,,,
Author,SAIL co-author,Author notification,Conference / Journal,Status,paper Title,Authors,link 1,link 2,Abstract,THEME
,,,,,,,,,,
Seb,,,ICML 2026,Accepted,On the Sample Efficiency of Inverse Dynamics Models for Semi-Supervised Imitation Learning ,"Sacha Morin, Moonsub Byeon, Alexia Jolicoeur, Sébastien Lachapelle",,,"Semi-supervised imitation learning (SSIL) consists in learning a policy from a small dataset of action-labeled trajectories and a much larger dataset of action-free trajectories. Some SSIL methods learn an inverse dynamics model (IDM) to predict the action from the current state and the next state. An IDM can act as a policy when paired with a video model (VM-IDM) or as a label generator to perform behavior cloning on action-free data (IDM labeling). In this work, we first show that VM-IDM and IDM labeling learn the same policy in a limit case, which we call the IDM-based policy. We then argue that the previously observed advantage of IDM-based policies over behavior cloning is due to the superior sample efficiency of IDM learning, which we attribute to two causes: (i) the ground-truth IDM tends to be contained in a lower complexity hypothesis class relative to the expert policy, and (ii) the ground-truth IDM is often less stochastic than the expert policy. We argue these claims based on insights from statistical learning theory and novel experiments, including a study of IDM-based policies using recent architectures for unified video-action prediction (UVA). Motivated by these insights, we finally propose an improved version of the existing LAPO algorithm for latent action policy learning. We experiment on the ProcGen, Push-T and Libero benchmarks.s based novel experiments and insights from statistical learning theory.  ",
Damien,Simon,,ICML 2026,Accepted,From Lyapunov Analysis to Algorithm Design in two-sided PL Minimax Optimization,"Mansi Rankawat, Michael Muehlebach, Simon Lacoste-Julien, Damien Scieur",,,"We derive algorithms for smooth nonconvex nonconcave minimax optimization and establish linear convergence rates for problems that satisfy the two-sided Polyak-Lojasiewicz (PL) inequality. At the core of our approach is the observation that Lyapunov functions can be used not only to certify convergence a posteriori, but also to design algorithms. By replacing an idealized, intractable Lyapunov function with a computable surrogate based on gradient information, we derive TALDA (Tri-Action Lyapunov Descent Ascent), a single-loop algorithm that enforces Lyapunov descent by construction. TALDA guarantees linear convergence under the two-sided PL condition, with a rate that depends explicitly on the cross-smoothness constant. This recovers existing worst-case guarantees while yielding sharper convergence rates in weakly coupled min-max problems.",
Reza,,,ICML 2026,Accepted,On the Convergence of Steepest Descent and Adaptive Gradient Methods under Non-Uniform Smoothness,"Sharan Vaswani, Yifan Sun, Reza Babanezhad ",,,"Recent work has analyzed the convergence of first-order methods under non-uniform smoothness assumptions that better model the loss landscape in machine learning tasks. We generalize this assumption to objectives whose curvature is an affine function of the objective value. This property is satisfied by a broad class of problems, including logistic regression, generalized linear models with a logistic link function, softmax policy gradient in reinforcement learning, and a class of neural networks. Under this assumption and gradient domination conditions, we establish a general convergence rate for the steepest descent method, and deterministic, diagonal variants of RMSProp and Adam. Our results imply that for logistic regression on separable data and the softmax policy gradient objective, sign GD converges linearly and is provably faster than GD. Furthermore, we show that for a class of two-layer neural networks on separable data, RMSProp and Adam can converge at a linear rate with a constant stepsize and momentum parameter. Finally, we present a lower bound demonstrating that, under our assumption, RMSProp and Adam are provably faster than AdaGrad, AMSGrad, gradient descent, and heavy-ball momentum",
Reza,,,ICML 2026,Accepted,Towards Parameter-Free Temporal Difference Learning,"Yunxiang LI, Mark Schmidt, Reza Babanezhad Harikandeh, Sharan Vaswani ",,,"Temporal difference (TD) learning is a fundamental algorithm for estimating value functions in reinforcement learning. Recent finite-time analyses of TD with linear function approximation quantify its theoretical convergence rate. However, they often require setting the algorithm parameters using problem-dependent quantities that are difficult to estimate in practice --- such as the minimum eigenvalue of the feature covariance () or the mixing time of the underlying Markov chain (\tau_mix). In addition, some analyses rely on nonstandard and impractical modifications, exacerbating the gap between theory and practice. To address these limitations, we use an exponential step-size schedule with the standard TD(0) algorithm. We analyze the resulting method under two sampling regimes: independent and identically distributed (i.i.d.) sampling from the stationary distribution, and the more practical Markovian sampling along a single trajectory. In the i.i.d. setting, the proposed algorithm does not require the knowledge of problem-dependent quantities such as , and attains the optimal bias-variance trade-off for the last iterate. In the Markovian setting, we propose a regularized TD(0) algorithm with an exponential step-size schedule. The resulting algorithm achieves a comparable convergence rate to prior works, without requiring projections, iterate averaging, or knowledge of \tau_mix",
,,,,,,,,,,
Alexia,"Aristide Baratin, Boris Knyazev, Yan Zhang",published Dec 25,TMLR,Accepted,Any-Property-Conditional Molecule Generation with Self-Criticism using Spanning Trees,"Alexia Jolicoeur-Martineau, Aristide Baratin, Kisoo Kwon, Boris Knyazev, Yan Zhang",https://openreview.net/forum?id=QGZd5Bfb1L,,"Generating novel molecules is challenging, with most representations of molecules leading to generative models producing many invalid molecules. Spanning Tree-based Graph Generation (STGG) is a promising approach to ensure the generation of valid molecules, outperforming state-of-the-art generative models for unconditional generation. In practice, it is desirable to generate molecules conditional on one or multiple target properties rather than unconditionally. Thus, we extend STGG to multi-property conditional generation. Our approach, STGG+, incorporates a modern Transformer architecture, random masking of properties during training (enabling conditioning on any subset of properties and classifier-free guidance), an auxiliary property-prediction loss (allowing the model to self-criticize molecules and select the best ones), and other improvements. We show that STGG+ achieves state-of-the-art performance on in-distribution and out-of-distribution conditional generation, as well as reward maximization.",
,,,,,,,,,,
Seb,,,AISTATS 2026,Accepted,Identifiability of potentially degenerate Gaussian Mixture Models with piecewise affine mixing,"Danru Xu, Sébastien Lachapelle, Sara Magliacane",,," Causal representation learning (CRL) aims to recover underlying latent variables from high-dimensional observations, even in settings in which these variables are dependent with each other, e.g., because they are causally related. We study this problem in a setting in which the underlying latent variables follow a potentially degenerate Gaussian mixture distribution, and are transformed via piecewise affine mixing functions. This setting is motivated by the observation that we often do not need full-rank distributions to model the data, but we can instead leverage sparse (and hence non-full-rank, i.e., degenerate) latent distributions. We provide a series of progressively stronger identifiability results for this challenging setting, in which the probability density functions are ill-defined. We leverage a sparsity regularization on the learned representation to prove identifiability up to permutation, scaling and translation of the latent variables. We then propose a two-stage method to estimate the latent variables by enforcing sparsity and Gaussianity in the learned representations. Experiments on numerical and image datasets highlight our method’s effectiveness in recovering the ground-truth latent variables.",
Boris,,,ICLR 2026,Accepted,Towards Learned Optimization Free Lunch,"Abhinav Moudgil, Boris Knyazev, Eugene Belilovsky",,,"Learned optimizers are powerful alternatives to hand-designed rules like Adam, yet they have seen limited practical adoption since they often fail to meta-generalize beyond their training distribution and incur high meta-training cost. For instance, prior work, VeLO, scaled meta-training to 4,000 TPU months (~10x GPT-3 compute) to meta-train a general-purpose optimizer but it failed to generalize beyond 600M parameters tasks. In this work, we present a surprising finding: by crafting a simple normalized optimizer architecture, and augmenting meta-training, it becomes feasible to meta-train a performant general-purpose learned update rule on a tiny fraction of VeLO compute, 4.5 GPU hours to be precise. Our learned update rule scales stably to a billion-scale pretraining task (GPT-3 XL 1.3B) which is six orders of magnitude larger than its meta-training distribution. Furthermore, it shows strong performance across diverse out-of-distribution ML workloads and is compatible with modern optimization harness that includes orthogonalization, distinct update rules for input-output and hidden weights, and decoupled weight decay. In all, this work paves the way for practically applicable learnable optimization algorithms, allowing future work to explore richer meta-training and data curation recipes to further improve performance.",
